--step: 100
--average rsmloss: 1.537675889475005
--average safeloss: 17.789075323513575
--average anchors: 1.9459040420395988
--step: 2800
--average loss: 28.111610787255422
--average arcloss: 0.227902947658939
--average holloss: 1.9375300364834922
--average uniloss: 0.1526945810765028
--average posloss: 3.471770465373993
--average rotloss: 1.1781624140483993
--average curloss: 0.8977193513086864
--average rsmloss: 1.50599961408547
--average safeloss: 16.89779838493892
--average anchors: 1.8420330094439643
--step: 2900
--average loss: 28.100244998931885
--average arcloss: 0.2579865676483938
--average holloss: 1.97617783503873
--average uniloss: 0.15237365450177873
--average posloss: 3.4777138041598454
--average rotloss: 1.1931715873735291
--average curloss: 0.8650560586580208
--average rsmloss: 1.5389891011374337
--average safeloss: 16.812949691499984
--average anchors: 1.8258268386125565
--step: 3000
--average loss: 28.158207280295237
--average arcloss: 0.2346411705283182
--average holloss: 1.9316521829792432
--average uniloss: 0.15344944010887826
--average posloss: 3.4849913652454103
--average rotloss: 1.19235631610666
--average curloss: 0.8953280741614955
--average rsmloss: 1.5417021129812514
--average safeloss: 16.903716615268163
--average anchors: 1.8203701078891754
--step: 3100
--average loss: 29.03087636402675
--average arcloss: 0.25042074599436354
--average holloss: 2.035880657179015
--average uniloss: 0.153178371489048
--average posloss: 3.4074615963867734
--average rotloss: 1.1819831356406212
--average curloss: 0.8978893490774291
--average rsmloss: 1.5395100542477198
--average safeloss: 17.76362579209464
--average anchors: 1.8009265661239624
--step: 3200
--average loss: 27.749882016863143
--average arcloss: 0.22746114352984087
--average holloss: 1.9182177186012268
--average uniloss: 0.14835037477314472
--average posloss: 3.3460101165941785
--average rotloss: 1.1733186032090868
--average curloss: 0.8395322795425143
--average rsmloss: 1.4702541955879755
--average safeloss: 16.859454682895116
--average anchors: 1.7672828563622065
--step: 3300
--average loss: 27.49458752359663
--average arcloss: 0.22507983419511998
--average holloss: 1.9609371987836701
--average uniloss: 0.15196838895125048
--average posloss: 3.3208994758980617
--average rotloss: 1.1638217994144984
--average curloss: 0.8872634896210262
--average rsmloss: 1.4669515298945563
--average safeloss: 16.534688762256078
--average anchors: 1.7829769998788834
--step: 3400
--average loss: 26.878090347562516
--average arcloss: 0.22054798581770488
--average holloss: 1.7499165630766325
--average uniloss: 0.14967279162790095
--average posloss: 3.222542913896697
--average rotloss: 1.1374855871711458
--average curloss: 0.8290294078843934
--average rsmloss: 1.442407991204943
--average safeloss: 16.388838248593466
--average anchors: 1.7376490022454942
--step: 3500
--average loss: 25.51834750175476
--average arcloss: 0.2245410286954471
--average holloss: 1.703785094831671
--average uniloss: 0.1508360824414662
--average posloss: 3.188261560031346
--average rotloss: 1.137496360710689
--average curloss: 0.8365224812711988
--average rsmloss: 1.468468067901475
--average safeloss: 15.08643925189972
--average anchors: 1.7219975973878587
--step: 3600
--average loss: 27.918406758989608
--average arcloss: 0.25196124373802115
--average holloss: 2.036021656223706
--average uniloss: 0.1533223528947149
--average posloss: 3.4498301403863088
--average rotloss: 1.1617191167814391
--average curloss: 0.8837537989020348
--average rsmloss: 1.5359375647136144
--average safeloss: 16.65571532079152
--average anchors: 1.7901455461978912
--step: 3700
